,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,2.2163184391935688e-14,7.898613126256879e-15,4.380213823510288e-22
ccs-pat,2.2163184391935688e-14,,0.8624211337109273,0.029653029568282776
loz-img,7.898613126256879e-15,0.8624211337109273,,0.03648842023949102
loz-pat,4.380213823510288e-22,0.029653029568282776,0.03648842023949102,
