,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,0.0005769473760300192,5.384808563323267e-13,3.5088447577913614e-24
ccs-pat,0.0005769473760300192,,9.123670361846581e-05,3.544368246185169e-12
loz-img,5.384808563323267e-13,9.123670361846581e-05,,0.0024369427822830683
loz-pat,3.5088447577913614e-24,3.544368246185169e-12,0.0024369427822830683,
