,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,1.1920648714376677e-21,9.826067120075898e-44,1.3843120920110872e-23
ccs-pat,1.1920648714376677e-21,,3.450535825073791e-08,0.4768461168335746
loz-img,9.826067120075898e-44,3.450535825073791e-08,,1.4914290129384124e-06
loz-pat,1.3843120920110872e-23,0.4768461168335746,1.4914290129384124e-06,
