,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,6.616798372268151e-18,5.134800464414317e-32,4.2849550350026085e-68
ccs-pat,6.616798372268151e-18,,0.009205624116609787,3.0576041055291806e-18
loz-img,5.134800464414317e-32,0.009205624116609787,,1.9672672147118812e-11
loz-pat,4.2849550350026085e-68,3.0576041055291806e-18,1.9672672147118812e-11,
