,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,3.300386096831119e-06,1.2792375707735534e-14,8.540938200652084e-29
ccs-pat,3.300386096831119e-06,,0.0009885449369030923,1.4363881665697199e-11
loz-img,1.2792375707735534e-14,0.0009885449369030923,,0.0005399046308199401
loz-pat,8.540938200652084e-29,1.4363881665697199e-11,0.0005399046308199401,
