,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,1.7943013402884472e-28,9.35120474478432e-43,2.1750458442420298e-89
ccs-pat,1.7943013402884472e-28,,0.010601320179252697,2.6279029388632847e-24
loz-img,9.35120474478432e-43,0.010601320179252697,,9.01540845900457e-16
loz-pat,2.1750458442420298e-89,2.6279029388632847e-24,9.01540845900457e-16,
