,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,2.4787760071932616e-15,1.1188047528271764e-33,6.299733664879993e-57
ccs-pat,2.4787760071932616e-15,,1.505901417923024e-07,5.0930097182643547e-20
loz-img,1.1188047528271764e-33,1.505901417923024e-07,,0.000607877066988664
loz-pat,6.299733664879993e-57,5.0930097182643547e-20,0.000607877066988664,
