,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,3.3280733797929695e-12,0.006622753042832501,0.7198533961356219
ccs-pat,3.3280733797929695e-12,,6.909604075102746e-05,1.0821573909944487e-11
loz-img,0.006622753042832501,6.909604075102746e-05,,0.013484281622754123
loz-pat,0.7198533961356219,1.0821573909944487e-11,0.013484281622754123,
