,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,0.36107184611248916,1.0344734972940128e-05,3.3392080711241586e-05
ccs-pat,0.36107184611248916,,2.466842989616502e-07,5.846562538860696e-07
loz-img,1.0344734972940128e-05,2.466842989616502e-07,,0.6394976894352093
loz-pat,3.3392080711241586e-05,5.846562538860696e-07,0.6394976894352093,
