,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,3.3860294347865557e-22,3.3222552584941884e-11,6.057518124690342e-28
ccs-pat,3.3860294347865557e-22,,0.00037058776189831817,0.21108745467853668
loz-img,3.3222552584941884e-11,0.00037058776189831817,,1.072918263754075e-06
loz-pat,6.057518124690342e-28,0.21108745467853668,1.072918263754075e-06,
