,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,1.4267232880433934e-09,6.162835727304393e-15,6.039956913663409e-44
ccs-pat,1.4267232880433934e-09,,0.20968618041875037,2.712704793199332e-14
loz-img,6.162835727304393e-15,0.20968618041875037,,1.878160803516364e-12
loz-pat,6.039956913663409e-44,2.712704793199332e-14,1.878160803516364e-12,
