,ccs-img,ccs-pat,loz-img,loz-pat
ccs-img,,1.9699350456081678e-48,3.542975219674623e-14,1.1310374842018168e-59
ccs-pat,1.9699350456081678e-48,,8.699476669296767e-14,0.055984195936523665
loz-img,3.542975219674623e-14,8.699476669296767e-14,,2.1473873252491788e-20
loz-pat,1.1310374842018168e-59,0.055984195936523665,2.1473873252491788e-20,
